Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Stiftsmarkt 11",Sonntag,Verkauft,"Silvia Artmeier (Privat_troedel)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 9",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 9",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 7",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 5",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 5",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 3",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 3",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt  1",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt  1",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Everwordstraße 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße 7",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße 5",Samstag,Angefragt,"Tobias Große Lembeck (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße 5",Sonntag,Angefragt,"Tobias Große Lembeck (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße 3",Samstag,Angefragt,"Gonzalo Suarez Salazar (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße 3",Sonntag,Angefragt,"Gonzalo Suarez Salazar (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße  1",Samstag,Angefragt,"Navina Schmidt (Verein)",-,-,-,-,-,-,-,-,-,-,-,-
"Everwordstraße  1",Sonntag,Angefragt,"Navina Schmidt (Verein)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 228",Samstag,Verkauft,"Anke Pickenäcker (Privat_troedel)",1754,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 228",Sonntag,Verkauft,"Anke Pickenäcker (Privat_troedel)",1754,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 226",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 226",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 224",Samstag,Angefragt,"Andre Boritzky (Schausteller)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 224",Sonntag,Angefragt,"Andre Boritzky (Schausteller)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 222",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 222",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 220",Samstag,Verkauft,"Karin Frese (Privat_anlieger)",1915,15€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 220",Sonntag,Frei,"Karin Frese (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 218",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 218",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 216",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 216",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 214",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 214",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 212",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 212",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 210",Samstag,Verkauft,"Karin-Uta Dünwald (Privat_anlieger)",1573,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 210",Sonntag,Frei,"Karin-Uta Dünwald (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 208",Samstag,Verkauft,"Annette Lemkau (Gewerblich)",1821,25€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 208",Sonntag,Frei,"Annette Lemkau (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 206",Samstag,Verkauft,"Annette Lemkau (Gewerblich)",1483,15€,3m,"0,6m",,,,,,,"Hallo Herr Schroeder, vielen Dank für die Hilfe am Telefon. Bitte stellen sie den geblockten Stand 208 für Samstag in Rechnung. Wir verkaufen an der Kita, wie jedes Jahr, Waffeln und Kaffee. Viele Grüße Annette von der Kita Wilde Wiese.",Bezahlt
"Warendorfer Straße 206",Sonntag,Frei,"Annette Lemkau (Gewerblich)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 204",Samstag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 204",Sonntag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 202",Samstag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 202",Sonntag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 200",Samstag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 200",Sonntag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 198",Samstag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 198",Sonntag,Verkauft,"Elfriede Großfeld (Privat_anlieger)",1493,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 196",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 196",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 194",Samstag,Verkauft,"Saskia Hartmann (Privat_troedel)",1920,15€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 194",Sonntag,Frei,"Saskia Hartmann (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 192",Samstag,Verkauft,"Saskia Hartmann (Privat_troedel)",1920,15€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Warendorfer Straße 192",Sonntag,Frei,"Saskia Hartmann (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 190",Samstag,Verkauft,"Susanne Brinkmann (Privat_anlieger)",1514,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 190",Sonntag,Frei,"Susanne Brinkmann (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 188",Samstag,Verkauft,"Jürgen Vieting (Privat_anlieger)",1454,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 188",Sonntag,Verkauft,"Jürgen Vieting (Privat_anlieger)",1454,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 186",Samstag,Verkauft,"Jürgen Vieting (Privat_anlieger)",1449,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 186",Sonntag,Verkauft,"Jürgen Vieting (Privat_anlieger)",1449,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 182",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 182",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 180",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 180",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 178",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 178",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 176",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 176",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 172",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 172",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 170",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1632,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 170",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1685,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 168",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1685,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 168",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 166",Samstag,Verkauft,"Hendrik Wagemann (Privat_troedel)",1910,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 166",Sonntag,Verkauft,"Hendrik Wagemann (Privat_troedel)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 164",Samstag,Verkauft,"Henriette Hüchtker (Privat_anlieger)",1577,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 164",Sonntag,Verkauft,"Henriette Hüchtker (Privat_anlieger)",1577,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 162",Samstag,Verkauft,"Annerose Westphal (Privat_troedel)",1842,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 162",Sonntag,Verkauft,"Annerose Westphal (Privat_troedel)",1842,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 160",Samstag,Verkauft,"Serpil Eva Sahin (Privat_troedel)",1887,15€,3m,"0,6m",,,,,,,"Schönen guten Tag,
wir würden bei beiden Ständen gerne ein Pavillon mit aufstellen, wäre das möglich? Ein Stand wäre privater Trödel und den zweiten Stand würden wir zur Hälfte privat (1,5 m) und zur Hälfte gewerblich (1,5m) nutzen. Wie wäre das dann mit der Berechnung des Preises? Sie können mich diesbezüglich auch gerne telefonisch kontaktieren.

Freundliche Grüße
Serpil Eva Sahin","Zahlung ausstehend"
"Warendorfer Straße 160",Sonntag,Verkauft,"Serpil Eva Sahin (Privat_troedel)",1933,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 158",Samstag,Verkauft,"Serpil Eva Sahin (Privat_troedel)",1887,15€,3m,"0,6m",,,,,,,"Schönen guten Tag,
wir würden bei beiden Ständen gerne ein Pavillon mit aufstellen, wäre das möglich? Ein Stand wäre privater Trödel und den zweiten Stand würden wir zur Hälfte privat (1,5 m) und zur Hälfte gewerblich (1,5m) nutzen. Wie wäre das dann mit der Berechnung des Preises? Sie können mich diesbezüglich auch gerne telefonisch kontaktieren.

Freundliche Grüße
Serpil Eva Sahin","Zahlung ausstehend"
"Warendorfer Straße 158",Sonntag,Verkauft,"Serpil Eva Sahin (Privat_troedel)",1933,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 156",Samstag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 156",Sonntag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 154",Samstag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 154",Sonntag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 152",Samstag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 152",Sonntag,Verkauft,"Marco Schneider (Schausteller)",1618,50€,3.33m,2.5m,Ja,Ja,Nein,Nein,"Marco´s Früchtchen. Mandeln Popcorn Schokofrüchte Zuckerwatte",,"Wenn möglich würde ich meinen Lkw gerne wieder hinter den Toiletten wagen stellen.",Bezahlt
"Warendorfer Straße 150",Samstag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 150",Sonntag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 148",Samstag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 148",Sonntag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 146",Samstag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 146",Sonntag,Verkauft,"Nancy Hoffmeyer (Gewerblich)",1854,43.33€,3m,m,Nein,Nein,Nein,Nein,,,,Bezahlt
"Warendorfer Straße 144",Samstag,Verkauft,"Elke Hövener (Privat_troedel)",1794,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 144",Sonntag,Verkauft,"Elke Hövener (Privat_troedel)",1907,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 142",Samstag,Verkauft,"Elke Hövener (Privat_troedel)",1794,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 142",Sonntag,Verkauft,"Elke Hövener (Privat_troedel)",1907,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 140",Samstag,Verkauft,"Elke Hövener (Privat_troedel)",1794,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 140",Sonntag,Verkauft,"Elke Hövener (Privat_troedel)",1907,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 136",Samstag,"Reserviert (Admin)","Michael Kasbera (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 136",Sonntag,"Reserviert (Admin)","Michael Kasbera (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 134",Samstag,"Reserviert (Admin)","Michael Kasbera (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 134",Sonntag,"Reserviert (Admin)","Michael Kasbera (Mitglieder)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 132",Samstag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1492,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 132",Sonntag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1492,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 130",Samstag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1492,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 130",Sonntag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1492,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 128",Samstag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1494,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 128",Sonntag,Verkauft,"Ingrid Rickmann (Privat_anlieger)",1494,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 114",Samstag,Verkauft,"Theo Hartmeyer (Privat_anlieger)",1486,15€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 114",Sonntag,Frei,"Theo Hartmeyer (Privat_anlieger)",-,-,-,-,-,-,-,-,-,-,-,-
"Warendorfer Straße 112",Samstag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 112",Sonntag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 110",Samstag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 110",Sonntag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 108",Samstag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 108",Sonntag,Verkauft,"Norbert Stammkötter (Privat_anlieger)",1553,30€,3m,"0,6m",,,,,,,,Bezahlt
"Warendorfer Straße 106",Samstag,Verkauft,"Maria Sehl (Privat_anlieger)",1468,30€,3m,"0,6m",,,,,,,,Bezahlt
