Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Dechaneistraße 45",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 45",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 47",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 47",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 49",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 49",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 51",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 51",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 53",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 53",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 55",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 55",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 57",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 57",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 59",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 59",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 61",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 61",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 63",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 63",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 65",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 65",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 67",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 67",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 69",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 69",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 71",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 71",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 73",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 73",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 75",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 75",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 79",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 79",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 81",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 81",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 83",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 83",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 85",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 85",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 91",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 91",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 93",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 93",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 95",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 95",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 97",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 97",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 99",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 99",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 101",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 101",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 103",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 103",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 105",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 105",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 107",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 107",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 109",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 109",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 111",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 111",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 113",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 113",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 115",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 115",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 117",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 117",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 119",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 119",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 121",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 121",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 123",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 123",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 2",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 2",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 4",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 4",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 6",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 6",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 8",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 8",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 10",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 10",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 1",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 1",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 3",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 3",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 5",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 5",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 7",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 9",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 9",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 11",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 11",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 13",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 13",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 15",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 15",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 17",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 17",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 19",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 19",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 21",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 21",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 23",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 23",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 25",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 25",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 27",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 27",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 29",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 29",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 31",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 31",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 33",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 33",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 35",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 35",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 37",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 37",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 39",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 39",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 41",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 41",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 43",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 43",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 45",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 45",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 47",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 47",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 49",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 49",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 51",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 51",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 53",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 53",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 55",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 55",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 2",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 2",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 4",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 4",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 6",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 6",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 8",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 8",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 10",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 10",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 12",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 12",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 14",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 14",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 16",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 16",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 18",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 18",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 20",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 20",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 22",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 22",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 24",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 24",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 26",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 26",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 28",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 28",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 30",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 30",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 32",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 32",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 34",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 34",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 36",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 36",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 38",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 38",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 40",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dreesstraße 40",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
